Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Severe Weather - Thunderstorms,2014,6/30/14,8:00 PM,7/2/14,6:30 PM,Illinois,RFC,Unknown,"420,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2014,6/30/14,11:20 PM,7/1/14,5:00 PM,North Central Indiana,RFC,Unknown,"127,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2014,6/30/14,5:55 PM,7/1/14,2:53 AM,Southeast  Wisconsin,MRO,424,"120,000","severe weather, thunderstorm"
Fuel Supply Emergency - Coal,2014,6/27/14,1:21 PM,Unknown,Unknown,Wisconsin,MRO,Unknown,Unknown,"fuel supply emergency, coal"
Physical Attack - Vandalism,2014,6/24/14,2:54 PM,6/24/14,2:55 PM,"Nashville, Tennessee",SERC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,6/19/14,8:47 AM,6/19/14,8:48 AM,"Nashville, Tennessee",SERC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,6/18/14,9:52 AM,6/18/14,7:00 PM,Washington,WECC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Thunderstorms,2014,6/18/14,5:00 PM,6/20/14,3:00 PM,Southeast Michigan,RFC,Unknown,"138,802","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2014,6/15/14,12:00 AM,6/15/14,1:00 AM,Central Minnesota,MRO,Unknown,"55,951","severe weather, thunderstorm"
Suspected Physical Attack,2014,6/12/14,9:10 AM,6/12/14,9:11 AM,"Somervell County, Texas",ERCOT,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,6/11/14,4:00 PM,6/11/14,4:30 PM,Southern Mississippi,SERC,N/A,N/A,"vandalism, physical"
Suspected Physical Attack,2014,6/11/14,9:30 AM,6/11/14,9:31 AM,"Nogales, Arizona",WECC,N/A,N/A,"vandalism, physical"
Severe Weather - Thunderstorms,2014,6/10/14,9:50 PM,6/11/14,2:30 PM,West Virginia,RFC,Unknown,"66,383","severe weather, thunderstorm"
Electrical System Islanding,2014,6/9/14,11:07 AM,6/9/14,11:30 AM,"Alberta, Canada",WECC,Unknown,Unknown,islanding
Severe Weather - Thunderstorms,2014,6/7/14,11:00 PM,6/8/14,5:30 AM,"North and Central , Alabama",SERC,217,"65,000","severe weather, thunderstorm"
Fuel Supply Emergency - Coal,2014,6/6/14,1:00 PM,Unknown,Unknown,Texas,ERCOT,Unknown,Unknown,"fuel supply emergency, coal"
Severe Weather - Thunderstorms,2014,6/5/14,3:00 AM,6/7/14,11:45 PM,"Shelby County, Tennessee",SERC,494,"38,500","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2014,6/5/14,1:06 PM,6/5/14,1:07 PM,West Tennessee,SERC,Unknown,"56,475","severe weather, thunderstorm"
Electrical System Islanding,2014,6/3/14,3:32 PM,6/3/14,3:59 PM,"Alberta, Canada",WECC,338,N/A,islanding
Physical Attack - Vandalism,2014,6/3/14,1:38 AM,6/3/14,1:43 AM,Texas,ERCOT,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,5/27/14,11:00 AM,5/27/14,4:53 PM,"Phoenix, Arizona",WECC,N/A,N/A,"vandalism, physical"
Electrical System Separation (Islanding),2014,5/26/14,12:31 PM,5/26/14,1:18 PM,"British Columbia & Alberta, Canada",WECC,Unknown,Unknown,islanding
Physical Attack - Vandalism,2014,5/23/14,3:00 PM,5/25/14,7:00 PM,North Carolina,SERC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,5/20/14,7:01 AM,5/20/14,7:02 AM,"Duchesne County, Utah",WECC,N/A,N/A,"vandalism, physical"
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/16/14,10:43 AM,5/16/14,9:00 PM,"San Diego & Orange Counties, California",WECC,"3,900","1,400,000","wild fire, public appeal"
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/15/14,10:43 AM,Unknown,Unknown,"San Diego & Orange Counties, California",WECC,"3,300","1,400,000","wild fire, public appeal"
Suspected Physical Attack,2014,5/15/14,12:10 PM,5/15/14,12:13 PM,"Whiting, Indiana",RFC,N/A,N/A,"vandalism, physical"
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/14/14,3:34 PM,Unknown,Unknown,"San Diego & Orange Counties, California",WECC,N/A,426,"wild fire, public appeal"
