,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
16,Severe Weather - Thunderstorms,2014,6/5/14,3:00 AM,6/7/14,11:45 PM,"Shelby County, Tennessee",SERC,494,"38,500","severe weather, thunderstorm"
24,Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/16/14,10:43 AM,5/16/14,9:00 PM,"San Diego & Orange Counties, California",WECC,"3,900","1,400,000","wild fire, public appeal"
57,Severe Weather - Winter Storm,2014,3/7/14,3:30 AM,3/7/14,9:00 PM,"Triad, North Carolina",SERC,1500,"370,900","severe weather, winter storm"
82,Severe Weather - Ice,2014,2/5/14,8:05 AM,2/5/14,8:06 AM,"Baltimore, Maryland",RFC,800,"181,000","severe weather, winter storm"
175,Electrical System Separation (Islanding); Severe Weather,2013,8/29/13,2:57 PM,8/29/13,3:29 PM,"Ashland, Wisconsin",MRO,15,"7,000","islanding, severe weather"
196,Severe Weather - Thunderstorms,2013,7/23/13,11:38 PM,7/25/13,4:30 AM,"Tulsa, Oklahoma",SPP,500,"92,748","severe weather, thunderstorm"
235,Severe Weather - Thunderstorms,2013,6/13/13,4:08 PM,6/14/13,5:16 PM,"Richmond, Virginia",SERC,900,"283,000","severe weather, thunderstorm"
305,Severe Weather - Thunderstorm,2012,12/26/12,2:50 PM,12/26/12,7:40 PM,"Stantonsburg, North Carolina",SERC,3,"1,200","severe weather, thunderstorm"
306,"Severe Weather - Cold Front, High Winds",2012,12/25/12,9:28 AM,12/26/12,4:28 PM,"Houston, Texas",TRE,294,"262,000","severe weather, cold, wind"
334,Severe Weather - Hurricane Sandy,2012,10/29/12,4:01 PM,11/8/12,7:00 PM,"New York City, New York",NPCC,0,"818,000","severe weather, hurricane/tropical storm"
340,Severe Weather - Hurricane Sandy,2012,10/29/12,1:00 PM,11/12/12,2:00 PM,"Long Island, New York",NPCC,0,"632,816","severe weather, hurricane/tropical storm"
391,Severe Weather; Equipment Failure,2012,7/21/12,2:19 AM,7/21/12,5:20 AM,"Lubbock, Texas",SPP,220,"70,000","severe weather, equipment failure"
394,Severe Weather - Thunderstorms,2012,7/18/12,2:16 PM,7/19/12,11:58 PM,"Southeast Ohio, Northern Kentucky, Southern Indiana",RFC,480,"103,000","severe weather, thunderstorm"
405,Operational Failure; Storm Damage,2012,7/1/12,4:47 PM,7/1/12,11:00 PM,"Tarboro, North Carolina",SERC,48,"6,100","equipment failure, severe weather, storm"
410,Severe Weather - Thunderstorms,2012,6/30/12,10:30 PM,7/2/12,8:11 AM,"Calvert, Charles, St. Mary's, Prince Georges Counties Maryland",RFC,354,"60,000","severe weather, thunderstorm"
415,Severe Weather - Thunderstorms,2012,6/29/12,2:10 PM,7/4/12,6:00 PM,"Dayton, Ohio",RFC,500,"175,000","severe weather, thunderstorm"
419,Severe Weather - Thunderstorms,2012,6/29/12,10:15 PM,7/5/12,12:52 PM,"Montgomery and Prince Georges Counties, Maryland; District of Columbia",RFC,"3,000","425,000","severe weather, thunderstorm"
420,Severe Weather - Thunderstorms,2012,6/29/12,10:43 PM,7/5/12,11:50 AM,"Baltimore, Maryland",RFC,"1,465","600,000","severe weather, thunderstorm"
429,Severe Weather - Thunderstorms,2012,6/12/12,3:57 PM,6/14/12,4:57 AM,"Houston, Texas",TRE,920,"175,000","severe weather, thunderstorm"
449,Severe Weather - High Winds,2012,4/16/12,3:46 PM,4/19/12,2:00 AM,"Southeast, Michigan",RFC,218,"111,393","severe weather, wind"
469,Severe Weather - Winter Storm,2012,3/2/12,9:00 PM,3/4/12,5:30 PM,"Lower Peninsula, Michigan",RFC,50,"140,000","severe weather, winter storm"
470,Severe Weather - Winter Storm,2012,3/2/12,9:00 PM,3/5/12,4:30 PM,"Southeastern, Michigan",RFC,371,"130,000","severe weather, winter storm"
488,Severe Weather - Winter Storm,2012,1/19/12,7:00 AM,1/20/12,3:00 PM,"Skagit Rgnl, Washington, United States of America (KBVS)",WECC,"1,600","426,000","severe weather, winter storm"
593,Severe Weather,2011,8/24/11,7:45 AM,8/25/11,6:00 AM,"Houston, Texas",TRE,485,"79,000",severe weather
671,Severe Thunderstorms,2011,6/18/11,3:30 PM,6/19/11,3:42 PM,"Northern, Georgia",SERC,312,"93,828","severe weather, thunderstorm"
674,Severe Thunderstorms,2011,6/15/11,7:17 PM,6/16/11,1:45 AM,"Piedmont, North Carolina",SERC,300,"70,135","severe weather, thunderstorm"
677,Severe Thunderstorms,2011,6/9/11,5:51 PM,6/10/11,12:00 PM,"Western, Massachusetts; Connecticut",NPCC,0,"100,000","severe weather, thunderstorm"
684,Severe Thunderstorms,2011,6/5/11,5:30 AM,6/6/11,1:30 AM,"Houston, Texas",TRE,473,"78,000","severe weather, thunderstorm"
686,Severe Weather,2011,6/2/11,11:45 PM,6/4/11,4:00 PM,"Columbia, South Carolina",SERC,0,"50,465",severe weather
687,Severe Weather,2011,5/29/11,6:30 PM,5/31/11,10:00 PM,"Mid and Southern Lower Peninsula, Michigan",RFC,250,"113,000",severe weather
690,Severe Weather,2011,5/26/11,6:30 PM,5/28/11,4:44 AM,"Southern Balancing Area, Georgia",SERC,729,"218,783",severe weather
695,Severe Weather,2011,5/23/11,4:45 PM,5/25/11,11:59 PM,"Central, Indiana",RFC,"1,024","215,387",severe weather
697,Severe Weather,2011,5/22/11,5:09 PM,5/31/11,12:01 PM,"Joplin, Missouri",SPP,200,"20,000",severe weather
